Address,RBN Balance,Time Left (in seconds),Penalty Ratio,Penalty Rebate,Unlock Reward Before,Penalty Reward After
0x48444712A0B97f0775AD575B1a744Aaf54F625DC,17335 RBN,49442400,0.75,6500.84 RBN,4333.00 RBN,4333.00 RBN
0x643cd42f6FebBB0C6417169657161CDCc0bF4AAB,1813 RBN,31903200,0.51,458.68 RBN,896.00 RBN,896.00 RBN
0x0D703ccD7DeBd7f6F4B0fFB29d2d710D19b09025,16272 RBN,50652000,0.75,6102.09 RBN,4068.00 RBN,4068.00 RBN
0x52dC01082fC06a78eF3910C101b7823df3277355,10208 RBN,60933600,0.75,3828.18 RBN,2552.00 RBN,2552.00 RBN
0x1f194C6a5B535393D28DDf8025F7F2d87dC68467,415 RBN,453600,0.01,1.49 RBN,412.00 RBN,412.00 RBN
0xe9ce2ed0D2bad6F082E3f346c7D52FA4B1B436da,6228 RBN,31903200,0.51,1575.19 RBN,3077.00 RBN,3077.00 RBN
0xB0ebEeAc1a25CC7Ba8e429D5f8fA911de3f2672B,6209 RBN,31903200,0.51,1570.48 RBN,3068.00 RBN,3068.00 RBN
0x1E43155529b73C06d62CE4E07e0Cafb102eed84D,3818 RBN,31903200,0.51,965.64 RBN,1886.00 RBN,1886.00 RBN
0x3e604b0c39E38Ab3babd79883efE6D0A266d6d85,799 RBN,31903200,0.51,202.10 RBN,394.00 RBN,394.00 RBN
0x1fb10dC9905C83a3Ca12e53B14FBa7E1a57e3ceb,15179 RBN,39765600,0.63,4785.29 RBN,5609.00 RBN,5609.00 RBN
0x8d91FA572eAc544C9a77e7c950cdD23983d90CB0,121 RBN,31903200,0.51,30.83 RBN,60.00 RBN,60.00 RBN
0xc851ed6F7B9E0b0bC20998c9fD6a133fe978aC1b,2160 RBN,58514400,0.75,810.03 RBN,540.00 RBN,540.00 RBN
0xe569d2E298Ca4Ac8228954A985949436Cd65259B,409 RBN,58514400,0.75,153.56 RBN,102.00 RBN,102.00 RBN
0xc99Bcab0dAAF45F86ef8787c6577eE9d973B817F,19030 RBN,57909600,0.75,7136.58 RBN,4757.00 RBN,4757.00 RBN
0xDe99eA535749F02dA84D13E6F8253291e32d3a7F,5772 RBN,31903200,0.51,1459.80 RBN,2852.00 RBN,2852.00 RBN
0x5d81416De258Fa01CCA5072561aBF53f1aD0d453,10820 RBN,37346400,0.59,3203.56 RBN,4413.00 RBN,4413.00 RBN
0x29A8458b43EFf9ecA4509a50B5767AB272e5c0A1,12549 RBN,453600,0.01,45.13 RBN,12458.00 RBN,12458.00 RBN
0x1200Eb4fA3dF9903fC6EfF1d7A4a5D17502329b2,33692 RBN,45813600,0.73,12236.56 RBN,9219.00 RBN,9219.00 RBN
0xBD1f7d88C76A86C60d41bDDD4819fAe404e7151E,4500 RBN,453600,0.01,16.18 RBN,4467.00 RBN,4467.00 RBN
0x7E689975c768EF505ba088aBA3996D76c75Cbd56,145507 RBN,31903200,0.51,36800.33 RBN,71906.00 RBN,71906.00 RBN
0xc4b74Ae89Ef93E683fB4AFba8e118d730313D45A,5027 RBN,31903200,0.51,1271.59 RBN,2484.00 RBN,2484.00 RBN
0x975793c7A6a077221aCa4E4FB9B7f9A46378463a,6771 RBN,31903200,0.51,1712.47 RBN,3346.00 RBN,3346.00 RBN
0x089105eAA0C942128338766Ac27014715B222a12,1000 RBN,453600,0.01,3.60 RBN,992.00 RBN,992.00 RBN
0x4e5471235E5077057f1CE35938d4a5BA54Dd1487,26563 RBN,38556000,0.61,8119.26 RBN,10325.00 RBN,10325.00 RBN
